ticket_id,plan_tier,tenure_months,seats,monthly_spend,prior_tickets_90d,first_response_hours,ticket_text,churned_within_90d
T-2070,pro,37,17,241.45,9,3.2,"Hello support, the API rate limits is not working as expected. Same symptoms as the ticket we opened in the spring. Many thanks.",0
T-2071,enterprise,12,663,14625.86,2,41.7,"Hi, we've been having trouble with the billing portal again. No rush on this one. Thanks for your help.",0
T-2072,free,28,4,18.83,4,0.9,Logging a ticket about the seat provisioning screen. Nobody in the office can work until this clears.,0
T-2073,enterprise,5,595,13126.45,9,9.2,"Hello support, the weekly digest email is not working as expected. No rush on this one.",0
T-2074,enterprise,28,609,13435.95,9,3.7,the API rate limits has been unreliable this week. This is the fourth time we've raised it.,0
T-2075,pro,16,10,140.42,9,2.8,the seat provisioning screen has been unreliable this week. My team is completely blocked and cannot ship today. Thanks for your help.,0
T-2076,pro,17,26,334.33,3,2.7,Logging a ticket about the weekly digest email. Our other vendor handles this without any fuss. Many thanks.,1
T-2077,enterprise,17,475,10468.98,0,3.1,the webhook retries has been unreliable this week. My team is completely blocked and cannot ship today. A colleague has been pushing us towards Brightloom for this reason. Appreciate it.,0
T-2078,enterprise,51,678,14929.94,6,1.0,Raising this again: the seat provisioning screen. Our other vendor handles this without any fuss.,0
T-2079,pro,5,34,440.93,7,33.7,Quick one - the SSO login flow keeps failing for us. There's a line on the bill nobody here recognises. Happy to jump on a call whenever suits.,0
T-2080,free,11,3,16.02,9,0.7,"Hello support, the Slack integration is not working as expected. The invoice does not match the seats we agreed. Frankly the equivalent feature in Zendrift just works. Not urgent, just logging it. Many thanks.",1
T-2081,enterprise,17,519,11457.79,6,14.6,"Hi, we've been having trouble with the CSV export again. There's a line on the bill nobody here recognises. Many thanks.",0
T-2082,enterprise,33,182,4038.81,1,1.1,"Hello support, the CSV export is not working as expected. Our customers are seeing errors because of it. The invoice does not match the seats we agreed. Cheers.",1
T-2083,pro,11,33,430.3,7,2.2,We need help with the SSO login flow. We reported the same thing last month and it came back. Appreciate it.,0
T-2084,enterprise,59,338,7474.64,7,3.0,Raising this again: the SSO login flow. Our customers are seeing errors because of it. We were also charged twice on the last invoice.,0
T-2085,pro,22,28,350.2,4,30.9,We need help with the audit log. Nobody in the office can work until this clears. There's a line on the bill nobody here recognises. Many thanks.,1
T-2086,pro,18,25,313.7,0,2.6,"Hi, we've been having trouble with the mobile app sync again. This is the fourth time we've raised it. This is stopping our month-end close right now. The invoice does not match the seats we agreed. Appreciate it.",0
T-2087,free,60,1,5.78,0,1.8,the billing portal has been unreliable this week. Our customers are seeing errors because of it. The invoice does not match the seats we agreed. I've been asked to justify keeping this contract. Many thanks.,1
T-2088,pro,33,31,402.57,9,43.0,Raising this again: the invoice download. Cheers.,1
T-2089,pro,53,28,357.27,2,0.3,Quick one - the webhook retries keeps failing for us. At this point I'm not sure we'll stay past the contract.,0
T-2090,enterprise,52,862,18990.26,0,28.5,"Hello support, the seat provisioning screen is not working as expected. This is the fourth time we've raised it. Happy to jump on a call whenever suits. Appreciate it.",0
T-2091,pro,22,7,92.11,5,5.6,Raising this again: the webhook retries. We were also charged twice on the last invoice. Frankly the equivalent feature in Zendrift just works. I've been asked to justify keeping this contract. Thanks for your help.,0
T-2092,pro,48,48,615.02,3,3.2,Raising this again: the billing portal. Frankly the equivalent feature in Zendrift just works. Can you tell me the process for closing the account and exporting our data? Many thanks.,0
T-2093,pro,3,32,410.1,5,4.6,the audit log has been unreliable this week. Same symptoms as the ticket we opened in the spring. Cheers.,0
T-2094,pro,43,43,540.26,4,5.7,"Hi, we've been having trouble with the weekly digest email again. Same symptoms as the ticket we opened in the spring. Whenever someone gets a chance is fine. Thanks for your help.",0
T-2095,pro,20,20,241.08,3,2.6,We need help with the API rate limits. Appreciate it.,0
T-2096,pro,34,48,612.33,3,38.2,the weekly digest email has been unreliable this week.,0
T-2097,enterprise,34,284,6284.66,2,0.9,Quick one - the SSO login flow keeps failing for us. Nobody in the office can work until this clears. Cheers.,0
T-2098,free,12,1,33.08,4,1.2,"Hi, we've been having trouble with the Slack integration again. We've been round this loop before with your team. My team is completely blocked and cannot ship today. There's a line on the bill nobody here recognises. Frankly the equivalent feature in Zendrift just works. Thanks for your help.",1
T-2099,free,44,4,14.38,0,0.4,the CSV export has been unreliable this week. We reported the same thing last month and it came back. Our other vendor handles this without any fuss. We are seriously reconsidering the renewal. Can you tell me the process for closing the account and exporting our data? Cheers.,1
T-2100,pro,35,36,453.32,2,1.6,"Hi, we've been having trouble with the dashboard filters again. There's a line on the bill nobody here recognises. Whenever someone gets a chance is fine.",0
T-2101,pro,40,13,186.84,2,33.9,Raising this again: the seat provisioning screen. Same symptoms as the ticket we opened in the spring. Thanks for your help.,0
T-2102,pro,44,45,548.33,5,0.5,Logging a ticket about the seat provisioning screen. There's a line on the bill nobody here recognises. Many thanks.,0
T-2103,pro,2,58,707.22,4,0.9,the seat provisioning screen has been unreliable this week. This is the fourth time we've raised it. Our customers are seeing errors because of it. Many thanks.,1
T-2104,enterprise,40,664,14609.26,6,2.6,"Hello support, the seat provisioning screen is not working as expected. Frankly the equivalent feature in Zendrift just works.",0
T-2105,pro,31,41,518.96,1,7.9,We need help with the Slack integration. Many thanks.,0
T-2106,pro,55,43,530.85,9,4.0,the invoice download has been unreliable this week.,0
T-2107,enterprise,35,780,17172.41,1,44.9,We need help with the CSV export. A colleague has been pushing us towards Brightloom for this reason. No rush on this one.,0
T-2108,pro,32,25,301.12,5,0.8,Raising this again: the SSO login flow. Same symptoms as the ticket we opened in the spring. No rush on this one. Cheers.,0
T-2109,enterprise,14,513,11300.14,8,46.7,"Hello support, the dashboard filters is not working as expected. Same symptoms as the ticket we opened in the spring. We are seriously reconsidering the renewal. Many thanks.",1
T-2110,pro,40,25,339.24,2,18.7,We need help with the dashboard filters. Same symptoms as the ticket we opened in the spring. If this isn't fixed we will be looking elsewhere. Cheers.,0
T-2111,pro,12,11,159.84,5,1.1,We need help with the weekly digest email. No rush on this one.,0
T-2112,free,42,5,15.28,1,3.8,"Hello support, the CSV export is not working as expected. Cheers.",0
T-2113,pro,44,36,468.8,6,1.4,"Hello support, the mobile app sync is not working as expected. Whenever someone gets a chance is fine. Cheers.",0
T-2114,pro,15,40,490.04,2,7.2,We need help with the Slack integration. This is the fourth time we've raised it. My team is completely blocked and cannot ship today. How do I get a full export of everything before we wind down?,1
T-2115,free,36,2,15.51,8,2.9,We need help with the weekly digest email.,0
T-2116,pro,21,26,312.87,9,0.3,Raising this again: the billing portal. A colleague has been pushing us towards Brightloom for this reason. If this isn't fixed we will be looking elsewhere. Many thanks.,1
T-2117,free,46,5,28.6,9,2.0,"Hi, we've been having trouble with the dashboard filters again. We've been round this loop before with your team. We are trialling Coalesce alongside you at the moment.",1
T-2118,enterprise,24,842,18544.35,2,35.0,"Hi, we've been having trouble with the dashboard filters again. Nobody in the office can work until this clears. Cheers.",1
T-2119,free,20,5,8.52,3,5.0,the dashboard filters has been unreliable this week. This is stopping our month-end close right now. Appreciate it.,0
T-2120,enterprise,20,251,5554.3,8,9.3,"Hi, we've been having trouble with the Slack integration again. Whenever someone gets a chance is fine. Thanks for your help.",0
T-2121,enterprise,34,733,16133.53,8,30.3,the SSO login flow has been unreliable this week. This is stopping our month-end close right now. Many thanks.,0
T-2122,enterprise,26,719,15830.95,6,1.8,Quick one - the seat provisioning screen keeps failing for us. There's a line on the bill nobody here recognises. Cheers.,1
T-2123,enterprise,39,154,3408.5,4,0.8,Logging a ticket about the dashboard filters. Happy to jump on a call whenever suits. Cheers.,0
T-2124,pro,44,24,313.06,7,1.6,"Hello support, the mobile app sync is not working as expected. This is the fourth time we've raised it. Not urgent, just logging it. Appreciate it.",0
T-2125,pro,32,36,440.6,2,0.5,Raising this again: the audit log. Nobody in the office can work until this clears. If this isn't fixed we will be looking elsewhere. Many thanks.,1
T-2126,free,56,1,16.16,7,14.3,We need help with the weekly digest email. We were also charged twice on the last invoice. Many thanks.,1
T-2127,pro,33,26,327.19,9,25.8,"We need help with the CSV export. Not urgent, just logging it. Many thanks.",1
T-2128,enterprise,44,788,17359.7,2,26.0,the invoice download has been unreliable this week. There's a line on the bill nobody here recognises. I've been asked to justify keeping this contract. Appreciate it.,0
T-2129,enterprise,17,781,17187.51,2,35.3,"Hi, we've been having trouble with the webhook retries again. We've been round this loop before with your team. This is stopping our month-end close right now. Many thanks.",0
T-2130,pro,5,5,77.23,7,0.3,Raising this again: the dashboard filters. Whenever someone gets a chance is fine. Thanks for your help.,0
T-2131,free,6,2,23.41,5,0.5,Raising this again: the CSV export. We reported the same thing last month and it came back.,1
T-2132,free,56,1,16.66,9,1.4,"Hello support, the invoice download is not working as expected. We are seriously reconsidering the renewal.",1
T-2133,free,52,4,6.67,1,2.0,Raising this again: the seat provisioning screen. Same symptoms as the ticket we opened in the spring. Frankly the equivalent feature in Zendrift just works. Cheers.,0
T-2134,enterprise,17,739,16288.36,1,3.1,Logging a ticket about the SSO login flow. Frankly the equivalent feature in Zendrift just works. Cheers.,0
T-2135,free,16,3,3.73,8,3.2,"Hi, we've been having trouble with the weekly digest email again. We are seriously reconsidering the renewal.",1
T-2136,free,36,3,8.75,6,1.6,Raising this again: the seat provisioning screen. This is the fourth time we've raised it.,0
T-2137,pro,44,18,244.16,5,1.2,Logging a ticket about the billing portal. A colleague has been pushing us towards Brightloom for this reason. At this point I'm not sure we'll stay past the contract. Many thanks.,1
T-2138,free,7,2,29.26,6,3.8,Raising this again: the API rate limits. If this isn't fixed we will be looking elsewhere. Thanks for your help.,1
T-2139,enterprise,18,552,12177.06,7,17.1,"Hi, we've been having trouble with the Slack integration again. Cheers.",0
T-2140,free,57,3,12.9,0,0.4,Raising this again: the invoice download. Our customers are seeing errors because of it.,0
T-2141,pro,16,55,666.96,2,0.3,Quick one - the weekly digest email keeps failing for us. If this isn't fixed we will be looking elsewhere.,1
T-2142,enterprise,26,363,7986.5,3,1.9,"Hi, we've been having trouble with the webhook retries again. Nobody in the office can work until this clears. We were also charged twice on the last invoice.",0
T-2143,pro,22,10,159.06,5,1.1,Raising this again: the invoice download. We've been round this loop before with your team. No rush on this one. Many thanks.,0
T-2144,pro,25,46,572.19,7,18.4,We need help with the SSO login flow. No rush on this one.,0
T-2145,enterprise,55,228,5033.09,9,19.0,Logging a ticket about the CSV export. Many thanks.,0
T-2146,pro,4,46,584.57,7,1.1,Quick one - the dashboard filters keeps failing for us. This is the fourth time we've raised it. At this point I'm not sure we'll stay past the contract.,1
T-2147,pro,60,23,281.67,6,0.7,Logging a ticket about the seat provisioning screen. This is stopping our month-end close right now. Many thanks.,0
T-2148,pro,52,21,253.9,1,0.5,Raising this again: the Slack integration. We reported the same thing last month and it came back. No rush on this one.,0
T-2149,pro,13,38,495.06,1,1.0,"Hello support, the dashboard filters is not working as expected. Same symptoms as the ticket we opened in the spring. My team is completely blocked and cannot ship today. Thanks for your help.",0
T-2150,pro,42,15,191.62,4,1.4,"Hi, we've been having trouble with the SSO login flow again. There's a line on the bill nobody here recognises. Not urgent, just logging it.",0
T-2151,pro,41,33,408.22,9,27.9,Raising this again: the weekly digest email. My team is completely blocked and cannot ship today. Cheers.,0
T-2152,free,46,5,17.58,8,7.1,We need help with the API rate limits. No rush on this one.,0
T-2153,pro,49,14,173.04,2,5.7,Raising this again: the seat provisioning screen. We reported the same thing last month and it came back. Frankly the equivalent feature in Zendrift just works. Cheers.,0
T-2154,free,2,1,10.66,1,0.3,Quick one - the audit log keeps failing for us. Happy to jump on a call whenever suits.,0
T-2155,free,45,1,22.82,6,0.3,Quick one - the dashboard filters keeps failing for us. This is the fourth time we've raised it. My team is completely blocked and cannot ship today. We were also charged twice on the last invoice. Many thanks.,1
T-2156,free,33,5,36.19,7,3.2,"Hello support, the Slack integration is not working as expected. Not urgent, just logging it. Thanks for your help.",1
T-2157,pro,48,7,119.46,9,0.5,We need help with the invoice download. Same symptoms as the ticket we opened in the spring. My team is completely blocked and cannot ship today. Appreciate it.,0
T-2158,pro,33,32,413.28,6,2.2,Raising this again: the invoice download. Same symptoms as the ticket we opened in the spring. No rush on this one. Thanks for your help.,0
T-2159,pro,47,50,629.12,7,33.7,We need help with the invoice download. We reported the same thing last month and it came back. We were also charged twice on the last invoice. Many thanks.,0
T-2160,free,50,3,4.27,4,35.7,"Hello support, the API rate limits is not working as expected. Our customers are seeing errors because of it. There's a line on the bill nobody here recognises. If this isn't fixed we will be looking elsewhere. How do I get a full export of everything before we wind down?",1
T-2161,pro,31,49,593.01,6,45.4,"Hi, we've been having trouble with the audit log again. Frankly the equivalent feature in Zendrift just works. I've been asked to justify keeping this contract. Can you tell me the process for closing the account and exporting our data? Many thanks.",1
T-2162,enterprise,35,113,2515.04,1,0.7,the audit log has been unreliable this week. We are seriously reconsidering the renewal.,0
T-2163,enterprise,19,77,1710.78,9,7.4,Quick one - the mobile app sync keeps failing for us. Our customers are seeing errors because of it. We were also charged twice on the last invoice. Cheers.,0
T-2164,free,19,3,1.29,9,9.9,We need help with the Slack integration. We reported the same thing last month and it came back. We were also charged twice on the last invoice. At this point I'm not sure we'll stay past the contract.,1
T-2165,pro,16,13,180.05,0,0.4,Raising this again: the weekly digest email. We reported the same thing last month and it came back. Nobody in the office can work until this clears.,0
T-2166,pro,42,36,461.72,8,15.1,Raising this again: the dashboard filters. Frankly the equivalent feature in Zendrift just works. No rush on this one. Cheers.,0
T-2167,pro,59,22,291.39,1,21.8,Raising this again: the billing portal. A colleague has been pushing us towards Brightloom for this reason. No rush on this one.,1
T-2168,pro,53,28,345.58,1,0.5,Quick one - the audit log keeps failing for us. This is the fourth time we've raised it. We are seriously reconsidering the renewal. Appreciate it.,0
T-2169,pro,53,20,242.0,3,3.0,Quick one - the dashboard filters keeps failing for us.,0
